timestamp	packetloss	min	avg	max
1466541445	12	5.424	6.626	11.034
1466541496	4	4.958	6.514	10.068
1466541546	8	4.657	6.300	11.016
1466541596	14	4.938	6.426	15.809
1466541646	4	4.893	6.166	10.937
1466541696	12	5.067	6.481	12.283
1466541746	18	5.454	16.200	305.687
1466541796	16	4.699	7.270	12.137
1466541846	14	4.902	6.270	11.022
1466541896	16	4.598	7.399	13.498
1466541946	14	4.605	7.573	13.122
1466541996	10	4.664	9.831	99.783
1466542046	18	4.608	7.593	14.287
1466542096	26	4.295	16.628	147.954
1466542147	28	4.947	20.301	101.428
1466542197	12	5.414	10.020	113.814
1466542247	18	5.433	7.610	16.394
1466542297	10	5.374	13.607	209.873
1466542347	8	5.228	8.793	16.414
1466542397	12	5.209	12.184	184.271
1466542447	18	5.449	9.500	86.037
1466542497	16	4.937	6.535	13.679
1466542547	4	4.922	6.677	15.779
1466542597	6	4.776	7.357	14.536
1466542647	12	5.116	8.881	16.968
1466542697	20	4.809	8.707	17.568
1466542747	8	5.122	8.228	16.448
1466542798	4	4.632	8.605	22.469
1466542848	12	4.682	9.028	15.227
1466542898	2	5.235	8.261	18.915
1466542948	6	5.477	7.814	12.492
1466542998	10	5.044	7.882	15.073
1466543048	18	5.885	7.946	14.775
1466543098	18	4.942	7.608	14.420
1466543148	20	4.878	6.489	15.466
1466543198	12	4.904	6.682	13.637
1466543248	10	4.763	6.724	11.483
1466543298	14	4.640	7.818	14.982
1466543348	16	4.614	8.314	14.623
1466543398	8	4.640	7.623	19.090
1466543449	2	4.984	8.409	23.807
1466543499	6	5.096	9.019	17.083
1466543549	10	5.130	9.056	19.796
1466543599	10	4.745	7.726	14.324
1466543649	6	4.926	7.025	18.799
1466543699	16	4.751	8.126	19.859
1466543749	4	5.494	7.344	16.754
1466543799	10	5.448	7.185	13.984
1466543849	6	5.459	6.987	13.135
1466543899	10	5.509	7.472	18.646
1466543949	16	5.494	7.012	11.975
1466543999	4	5.515	7.027	13.434
1466544049	2	5.478	7.056	12.389
1466544100	10	5.431	6.992	14.048
1466544150	12	4.865	6.663	10.104
1466544200	16	4.959	6.490	10.663
1466544250	10	4.991	6.305	11.772
1466544300	4	4.959	6.611	33.247
1466544350	16	4.971	6.346	14.277
1466544400	14	4.676	7.015	13.307
1466544450	12	4.688	7.344	15.173
1466544500	12	4.734	7.307	13.546
1466544550	14	4.448	8.119	14.211
1466544600	6	5.429	6.720	11.652
1466544650	16	4.998	7.024	13.386
1466544701	10	4.915	6.770	29.598
1466544751	22	4.957	6.872	11.271
1466544801	16	5.408	7.055	21.844
1466544851	18	5.917	7.421	11.391
1466544901	8	5.460	7.098	15.339
1466544951	10	4.945	6.362	12.454
1466545001	6	4.714	7.273	16.294
1466545051	12	4.647	7.815	19.149
1466545101	4	4.763	7.532	13.360
1466545151	6	4.739	6.999	12.634
1466545201	10	4.359	8.865	14.501
1466545251	8	4.672	7.846	13.550
1466545301	8	4.584	7.764	12.313
1466545352	6	4.660	7.772	12.718
1466545402	12	4.778	30.667	1004.179
1466545452	16	4.668	7.432	11.764
1466545502	14	4.686	7.272	14.057
1466545552	6	4.633	7.713	13.488
1466545602	18	4.777	8.394	14.299
1466545652	12	4.645	8.314	16.726
1466545702	12	5.129	66.220	116.087
1466545752	10	6.658	65.637	154.271
1466545802	6	20.099	67.353	110.464
1466545852	14	5.123	20.740	72.221
1466545902	12	5.089	12.010	75.055
1466545953	24	5.394	7.799	19.762
1466546003	8	5.005	7.273	14.096
1466546053	10	4.911	7.012	12.966
1466546103	18	4.844	8.097	37.495
1466546153	8	5.410	7.981	20.796
1466546203	4	5.101	7.901	16.801
1466546253	10	5.071	8.537	15.643
1466546303	6	5.139	8.075	16.104
1466546353	8	5.628	8.146	31.311
1466546403	6	5.392	7.479	18.997
1466546453	4	4.921	6.747	14.118
1466546503	10	4.934	6.792	14.790
1466546554	10	4.957	6.841	13.051
1466546604	14	4.911	6.969	17.996
1466546654	6	4.932	7.346	19.488
1466546704	16	5.405	7.907	15.804
1466546754	18	5.421	8.656	54.166
1466546804	12	5.069	7.456	20.538
1466546854	10	4.948	7.057	13.736
1466546904	14	4.604	7.141	14.818
1466546954	8	5.413	7.095	13.291
1466547004	8	5.420	7.439	19.938
1466547054	14	4.923	7.569	31.648
1466547104	8	4.974	6.929	16.892
1466547154	10	5.160	7.669	21.272
1466547205	10	5.116	8.966	20.282
1466547255	12	5.117	9.161	18.859
1466547305	8	5.075	8.478	13.954
1466547355	14	5.958	7.152	11.364
1466547405	12	5.704	9.706	67.721
1466547455	8	5.189	8.281	16.993
1466547505	6	4.932	7.562	16.058
1466547555	8	5.480	8.256	19.272
1466547605	4	5.520	8.144	16.556
1466547655	14	5.469	7.992	13.380
1466547705	12	5.477	7.710	15.941
1466547755	10	4.957	7.274	24.881
1466547805	16	4.963	7.475	15.660
1466547856	12	4.926	6.604	10.639
1466547906	8	4.743	6.590	10.971
1466547956	12	5.006	6.762	27.415
1466548006	10	4.702	11.661	170.663
1466548056	10	4.646	7.968	42.979
1466548106	28	4.791	8.093	13.999
1466548156	8	4.714	7.590	17.053
1466548206	10	4.857	7.603	18.857
1466548256	8	4.588	8.649	15.029
1466548306	8	4.377	15.872	116.214
1466548356	10	5.127	8.477	15.524
1466548406	6	5.170	7.112	11.317
1466548456	4	5.006	6.896	12.168
1466548507	6	4.886	6.544	12.086
1466548557	4	4.928	6.852	15.413
1466548607	18	4.753	7.464	15.015
1466548657	20	4.897	6.909	13.266
1466548707	12	4.930	6.406	12.425
1466548757	8	4.926	6.514	13.504
1466548807	14	4.951	9.051	58.697
1466548857	6	5.199	7.803	17.200
1466548907	24	5.420	10.380	43.668
